initial_resistant_fraction,emdr,starting_volume_mm3,window_percent,relapse_day,horizon_days
0.01,False,2500.0,7,41,2000
0.01,False,2500.0,8,41,2000
0.01,False,2500.0,9,43,2000
0.01,False,2500.0,10,43,2000
0.01,False,2500.0,11,40,2000
0.01,False,2500.0,12,40,2000
0.01,False,2500.0,13,40,2000
0.01,False,2500.0,14,40,2000
0.01,False,2500.0,15,8,2000
0.01,False,2500.0,16,8,2000
0.01,False,2500.0,17,8,2000
0.01,False,2500.0,18,8,2000
0.01,False,2500.0,19,8,2000
0.01,False,2500.0,20,8,2000
0.01,False,2700.0,1,indefinite_within_horizon,2000
0.01,False,2700.0,2,indefinite_within_horizon,2000
0.01,False,2700.0,3,indefinite_within_horizon,2000
0.01,False,2700.0,4,63,2000
0.01,False,2700.0,5,47,2000
0.01,False,2700.0,6,47,2000
0.01,False,2700.0,7,44,2000
0.01,False,2700.0,8,44,2000
0.01,False,2700.0,9,46,2000
0.01,False,2700.0,10,46,2000
0.01,False,2700.0,11,46,2000
0.01,False,2700.0,12,42,2000
0.01,False,2700.0,13,42,2000
0.01,False,2700.0,14,42,2000
0.01,False,2700.0,15,42,2000
0.01,False,2700.0,16,42,2000
0.01,False,2700.0,17,42,2000
0.01,False,2700.0,18,9,2000
0.01,False,2700.0,19,9,2000
0.01,False,2700.0,20,9,2000
0.01,False,2900.0,1,indefinite_within_horizon,2000
0.01,False,2900.0,2,indefinite_within_horizon,2000
0.01,False,2900.0,3,indefinite_within_horizon,2000
0.01,False,2900.0,4,indefinite_within_horizon,2000
0.01,False,2900.0,5,51,2000
0.01,False,2900.0,6,51,2000
0.01,False,2900.0,7,51,2000
0.01,False,2900.0,8,47,2000
